,index,part,Annotations,Percent
0,8884,"Excellent hotel in a great location. Close enough to the French Quarter, Canal St and the Riverwalk but far enough away from the hustle and bustle! Staff were accommodating, gracious and always had smiles! They were able to find us a room at an early time in the day, it was great! The hotel is older but well maintained. The rooms were spacious, nice and cold A/C and clean! Not to mention, the fresh croissants delivered to your room every morning were amazing! Our bed was a bit squeaky when laying in it or tossing and turning but other than that the room was great!I would highly recommend this small, boutique style hotel to anyone coming to New Orleans, whether a night or a week.",0,1.0
1,1098,Third time visit to this hotel. Rooms renovated two years ago. Clean and comfortable. 10 Min walk to the parks (via grand Californian). Nice free parking. Was allowed to leave my car at the parking af,1,0.3992015968063872
2,4870,"When we fly into Orlando to visit family on the east coast we usually get in late and stay near the airport before driving over the next morning. My go to hotel is the Hilton Garden Inn MCO. The staff is very friendly, the service is always consistently ",1,0.199528672427337
3,6665,"Close to airport but also close to a noisy road. Each day a car alarm went off at least once in parking area next door, plenty of traffic noise. I thought our patio door was cracked or broken letting in so much noise. I looked into changing hotels within hours of arriving.",1,0.19985358711566617
4,7456,"This is a great choice for Love Field area. Residence Inns have wonderful amenities an excellent breakfast spread and evening service (on most weeknights). Staff at this property is excellent. Free (secure) parking. Very nice pool and hot tub. I look forward to visiting again.Dear Guest, We are pleased that you enjoyed your stay! Thank you for being our guest in April. ",1,0.7982832618025751
5,686,"Hotel was great!! The rooms were nice and clean. The view of the convention center was a bummer, but the power shades were great. The staff answered all questions and heped with directions. Valet was outstanding!!! Only bad part was the tax on the room and 9.5 sales tax... Ouchie Mama!!",1,1.0
6,1743,"Very nice place, it was good quality for the price, and the staff were very friendly. Fairly easy walk to Ala Moana or to Waikiki. I will stay again on my next visit.MoreAloha Brad and thank you for your review on our hotel! We are happy you enjoyed our quality, price, location, and staff. Many of guests also enjoy that we do not charge a resort fee. We hope you had a memorable stay in Hawaii and...More",1,1.0
7,5112,"From the check-in to check-out we had a great visit.. The room was clean, cost appropriate, and well organized. The pillows were to die for. I am thinking of buyi",1,0.7980295566502463
8,9943,"I was in the Disney area for a conference...all of the conference attendees stayed at Coronado Springs, on Disney property, and I choose to stay at the Homewood Suites a few miles away...totally ",1,0.39959016393442626
9,431,"Very positive experience. Super convenient location. Clean and quiet room with plenty of space. Hotel staff very helpful. We got some great tips for eating and sightseeing from Louie, the very friendly concierge. Would definitely stay there again.Hello kenandemilie, thank you for giving us a 5 star rating. We are pleased to know that your stay with us was comfortable an",1,0.8
10,4534,"Your first difficulty if you drive to this location is going to be parking. Expect to pay up to 16.50 a day to park your car 2 blocks away at a parking garage. Once you get to the hotel you will need to climb 18 very steep stairs to get to the check in desk. No elevator. The staff are all very welcoming and helpful. Some of the rooms have windows that open into the hallway. I am sure that this may be quaint for some, but a huge privacy issue for others even if there is a blind that you can pull down. There are shared bathrooms (2 total) and you may be sharing it with 20 + ",1,0.19972404277337014
11,4664,"I love this place. Special. It is not standard American big bathroom fare, but better in that it is rea - on a real street with real people in a real part of town. I'd come back in a",1,0.3982494529540481
12,5713,"I got this room for 87 on Priceline with a Name Your Price room at 4 stars. I wasn't familiar with the brand, so I was pleasantly surprised when I arrived. The staff was so nice and welcoming on my arrival even though it was late. The room was very comfortable. The carry Aveda products in the bath, so that was a nice touch. It was also close to several shopping centers and restaurant options. The only reason I didn't give it 5 stars is because there was hair in several different places in my bathroom. It still seemed very clean, but definitely a let down to find that. I would stay here again at that price.I am very sorry for the way in which you found your room. I will review with my Housekeeping Manager and follow up. This is not typical at all for my hotel, we run among the highest cleanliness scores in the company. Please come back and see us soon!",1,1.0
13,3027,"We booked a 3 bedroomed bungalow for our recent family holiday, the accommodation was outstanding, it had everything you could possibly want or need. the beds are super comfortable. It was spotless. The location is perfect seconds from the ocean front and minutes from restaurants and shops. The breakfasts were fantastic, the setting for breakfast was beautiful. All the staff members were extremely friendly and very helpful You will leave the Pantai Inn feeling relaxed and most definitely wanting to return. The fire-pit is a real highlight.Greetings Lgowtraveller,Thank you for taking the time to review Pantai Inn. We appreciated tha",1,0.599437148217636
14,9799,"From the very cool top floor lobby and bar to one of the most comfortable rooms weve ever had, this was 5 star. The bed was great and TV excellent. The location cant be much better. The rooftop bar wasnt open yet.....but yet another reason to return.Dear BOVCAT, Thank you for staying at the Conrad Chicago and taking time from your busy day to write a review of your stay. We are glad you enjoyed the accommodations, location, and room amenities. We look forward to welcome you back in the Summer to visit our rooftop restaurant, Noyane, when it opens!",1,1.0
15,1581,"This is our third time staying at the Chelsea Motor Inn in San Francisco. This hotel is amazing for San Francisco. The price is fair, the rooms are clean, and the staff is great. The parking is fr",1,0.599388379204893
16,5782,I travel as a writer and felt compelled to write about this BEST KEPT SECRET. I arrived being very stressed out as I had been traveling for nearly a month. I have not been to this part of San Diego before so I didn't know what to expect........so my uber pulls up to the main door and you feel as though your pulling up to your home......the doorman welcomes you.......when you walk through the front door you feel as though you are walking into your living room.....its warm well decorated and charming......the stress of my day starts to melt off with every step that I take........I check in and make my way to the garden outside and grab a glass of champagne.....the weather is PERFECT.....the grounds are peaceful and quiet..........I make my way to my room...........the door opens and I am in HEAVEN.........the room is spacious..........its spotless with lush white linens......which is my favorite........I am RELIEVED to see that they carry quality bath products.......always a plus! I shower and sit outside for a moment on my balcony that over looks the pool.......I am overly exhausted to I decide to eat on the property.......I am a LOVER of fish tacos!!! The menu looks incredible and the staff is incredibly helpful and made sure that the tacos were prepared exactly how I like them....and my standards are extremely high as I am very picky.......I finish eating and get an incredible Pinot and chat with,1,0.5999155048584707
17,9989,My husband I had such a wonderful relaxing time at this facility. The hosts are Awesome people. The room we stayed in had Everything we needed for our get-away from home. Very spacious and comfortable. Our travel to this location has very scenic highways and good roads. Even ,1,0.7976878612716763
18,9749,"We stayed here for 4 nights in October and we booked a double queen room for three of us all adults. The room was huge and clean. I had requested an upstairs room because of reading earlier comments about noise from above in the lower rooms and we were given an upstairs room at the back of the Hotel.It was quiet and we had no issues with noise from the pool area which was just below us. There is no lift in the Hotel but I was prepared for this and knew I would need to carry may cases up the stairs.The provided breakfast was basic but very adequate, waffles, cereal, toast, eggs, juices, tea and coffee.The hotel is a little older than the ones around it and that is obvious when you arrive but we had no issues with cleanliness and I was not looking for 5 star just a good restful place to sleep.The location for the price was perfect, I would stay here again, no questions asked just for the location and price. The office staff were helpful and friendly, the manager even gave me some milk for a cuppa one night.We were here to see Disneyland not be in motel room so the only time we were were in our room was to sleep and this was a perfect place at a great price to do that.",1,1.0
19,1762,"As part of our RTW trip we also stayed a few nights in Honolulu. We chose the Ramada fpr its location (not knowing the area and not wanting to book an all-inclusive package). Location and parking are good and within a short walking distance we...MoreAloha Ernst D, Thank you for staying at Ramada Plaza Waikiki. We greatly appreciate your kind and honest review. We are happy to hear you had a pleasant stay, starting with the warm aloha spirit from our staff, all the way to the comfortable guest...More",1,1.0
20,9116,"While in San Diego for a water polo tournament, our son's club secured a block of rooms at the Springhill Suites for parents at 209 per night (including breakfast) + 20 per night parking. Normally we are not big fans of the hotels the club selects (because the choice is most often based solely on the lowest price available) this time, however, we were beyond pleased. The hotel is relatively new and exceptionally clean, and every staff member with whom we interacted was courteous and efficient, especially so at check in. Additionally, there were many larg",1,0.39942938659058486
21,1145,"What a nice family owned motel. Brought back memories of what motels used to be like. Very clean, great price and pleasant and professional staff. Two great restaurants within ",1,0.5986394557823129
22,1178,"Only stayed one night before a cruise. But, clea",1,0.1991701244813278
