,Article Index,Part,Percentage
1024,17267,The European Central Bank on Thursday raised its economic growth forecast for the 12 nations using the euro and kept its key interest rate steady at record lows as it waits for the recovery to firm up.,100
4483,9309,The biggest takeover battle in Japanese history got even bigger as the Sumitomo Mitsui Financial Group sought to disrupt a rival's expansion plans with a,80
912,64046,NEW YORK (Reuters) - The two top U.S. toymakers posted disappointing third-quarter results on Monday and softened expectations,60
2918,55604,NEW YORK - United States stocks fell on Friday after a government report showed employment growth unexpectedly slowed last month. A fourth straight day of record oil,80
2742,77763,The new boss of scandal-hit US insurance broker Marsh McLennan says he,60
1229,45786,"AP - Three weeks after the Genesis space capsule slammed into the Utah desert after its parachutes failed to deploy, NASA scientists remain hopeful they can salvage the mission and reveal clues about the origin of the solar system.",100
3525,67357,Plus: Lucent's 1st,20
3932,20291,Back-to-back drubbings at the hands of the Fever have plunged the Mystics into,60
4960,70931,TOKYO (Reuters) - The dollar tumbled,20
2748,20416,"Reuters - The U.S. Army plans within months to break up Halliburton Co.'s contract to provide support services for U.S. troops in Iraq -- valued at up to 36;13 billion -- and open the work to competitive bids, the Wall",80
2105,36453,Reuters - A Pentagon-run Web site,20
2294,40402,Iranian students interrupt a speech by President Khatami to mark Student Day at Tehran university.,100
4542,21108,"In a rare admission, an Intel executive says the Itanium",60
3195,81107,We know by now,20
3555,107345,Mike Fratello was hired as,20
41,116149,"BOSTON, Dec. 14 - Most New Englanders are walking around with more cheer and about $20",40
4070,17586,For however many millennia mankind has,20
76,60469,Israeli air strikes killed five Palestinians in Gaza Thursday as the Palestinian,40
2654,113388,"RIVAL factions in Congos postwar army fought gun battles on the vast nations eastern border with Rwanda yesterday, killing several people, a top military official said.",100
4481,9309,The biggest takeover battle in Japanese history got even bigger as the,40
2397,16235,"Rich Harden pitched seven solid innings, helping the Oakland A's extend their winning streak to eight games",60
640,87465,"The Jones Apparel Group,",20
448,108059,Singapore police launch a criminal investigation into the $550m trading scandal surrounding collapsed jet fuel,80
4597,113837,Sonys PlayStation console has been so popular that it feels strange that PSP,60
800,116156,The F.D.A.'s oversight,20
1070,66204,The new iBook G4 laptop,20
3201,49751,"PalmOne (Quote, Chart), maker of the lower-priced Zire handheld and the Treo",40
1931,6691,Chantelle Newbery became the first Australian to win the,40
4917,73373,"Dell has launched the Inspiron 9200, the company 39;s first notebook with a 17-inch wide-aspect screen,",60
2860,5829,Georgia said on Friday its troops had,20
4368,66044,"CHICAGO (Reuters) - Delta Air Lines Inc. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DAL.N target=/stocks/quickinfo/fullquote"";DAL.N;/A; on Wednesday reported a wider quarterly loss on soaring fuel prices and weak domestic airfares, and said time was running short as",80
421,52,"After a tough year, Detroit's troubled carmaker is back",40
2458,115319,"The row between the Taoiseach, Bertie Ahern, and the DUP over IRA decommissioning appears to have been resolved. Yesterday, the DUP announced it was withdrawing all",80
2447,15475,Dr. C. Erec Stebbins talks about using a nearly 100-year-old investigative tool,60
825,103680,Two months after elections,20
551,28832,"In most of western Europe, easily more than half the adults are overweight, and in the United",40
4040,28174,A group of satellites captures evidence,20
2202,65361,Spanish police have arrested eight suspected Islamic militants. Authorities say they were planning to carry,60
259,115440,"Toshiba Corporation announced the first hard disk drives (HDD) based on perpendicular recording, boosting the capacity of a single 1.8-inch hard-disk platter to 40 gigabytes.",100
137,69263,Lebanon 39;s Prime Minister Rafik al-Hariri resigned Wednesday after the pro-Syrian president 39;s,60
4249,70315,"Even after Israel withdraws from the Gaza Strip, it will still be considered under international law as the occupying power and be held responsible for the crowded territory, according ",100
1173,97878,Finance ministers from the Group of 20 rich or emerging countries have wrapped up a two-day summit in Berlin without making explicit reference to the sagging value,80
4791,56338,AP - The New York Giants sure are going to enjoy,40
1055,69285,Britain's largest civil,20
2442,68570,"ORLANDO, Fla. - Michael Eisner 39;s fighting back. The embattled Disney boss is gearing up to defend his",60
